2024-06-25 09:13:40,908 - Deauth packet detected at timestamp: 24.855376720428467 - Packet Info: {'frame.len': 26, 'frame.number': 866, 'frame.time_delta': 0.00498652458190918, 'frame.time_delta_displayed': 0.00498652458190918, 'frame.time_epoch': 1719296020.5740669, 'frame.time_relative': 24.521271228790283, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:40,908 - Deauth packet detected at timestamp: 24.855376720428467 - Packet Info: {'frame.len': 26, 'frame.number': 866, 'frame.time_delta': 0.00498652458190918, 'frame.time_delta_displayed': 0.00498652458190918, 'frame.time_epoch': 1719296020.5740669, 'frame.time_relative': 24.521271228790283, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:40,909 - Deauth packet detected at timestamp: 24.856374263763428 - Packet Info: {'frame.len': 26, 'frame.number': 869, 'frame.time_delta': 0.00498652458190918, 'frame.time_delta_displayed': 0.00498652458190918, 'frame.time_epoch': 1719296020.6239326, 'frame.time_relative': 24.571136951446533, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:40,909 - Deauth packet detected at timestamp: 24.856374263763428 - Packet Info: {'frame.len': 26, 'frame.number': 869, 'frame.time_delta': 0.00498652458190918, 'frame.time_delta_displayed': 0.00498652458190918, 'frame.time_epoch': 1719296020.6239326, 'frame.time_relative': 24.571136951446533, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:40,909 - Deauth packet detected at timestamp: 24.856374263763428 - Packet Info: {'frame.len': 26, 'frame.number': 873, 'frame.time_delta': 0.004987239837646484, 'frame.time_delta_displayed': 0.004987239837646484, 'frame.time_epoch': 1719296020.701726, 'frame.time_relative': 24.648930311203003, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:40,909 - Deauth packet detected at timestamp: 24.856374263763428 - Packet Info: {'frame.len': 26, 'frame.number': 873, 'frame.time_delta': 0.004987239837646484, 'frame.time_delta_displayed': 0.004987239837646484, 'frame.time_epoch': 1719296020.701726, 'frame.time_relative': 24.648930311203003, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:40,909 - Deauth packet detected at timestamp: 24.856374263763428 - Packet Info: {'frame.len': 26, 'frame.number': 876, 'frame.time_delta': 0.004986286163330078, 'frame.time_delta_displayed': 0.004986286163330078, 'frame.time_epoch': 1719296020.7466044, 'frame.time_relative': 24.693808794021606, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:40,910 - Deauth packet detected at timestamp: 24.85737133026123 - Packet Info: {'frame.len': 26, 'frame.number': 876, 'frame.time_delta': 0.004986286163330078, 'frame.time_delta_displayed': 0.004986286163330078, 'frame.time_epoch': 1719296020.7466044, 'frame.time_relative': 24.693808794021606, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:40,910 - Deauth packet detected at timestamp: 24.85737133026123 - Packet Info: {'frame.len': 26, 'frame.number': 878, 'frame.time_delta': 0.0009975433349609375, 'frame.time_delta_displayed': 0.0009975433349609375, 'frame.time_epoch': 1719296020.7585728, 'frame.time_relative': 24.705777168273926, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:40,910 - Deauth packet detected at timestamp: 24.85737133026123 - Packet Info: {'frame.len': 26, 'frame.number': 878, 'frame.time_delta': 0.0009975433349609375, 'frame.time_delta_displayed': 0.0009975433349609375, 'frame.time_epoch': 1719296020.7585728, 'frame.time_relative': 24.705777168273926, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:40,910 - Deauth packet detected at timestamp: 24.85737133026123 - Packet Info: {'frame.len': 26, 'frame.number': 880, 'frame.time_delta': 0.005983829498291016, 'frame.time_delta_displayed': 0.005983829498291016, 'frame.time_epoch': 1719296020.7914844, 'frame.time_relative': 24.738688707351685, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
